ID,Objavljeno,Ime,Rešilo #,Najhitrejši čas [s],Povprečni čas [s],Highscore #
277,"6th February 2010, 01:00 am",A Modified Collatz sequence,2194,1310,2908,20
278,"13th February 2010, 05:00 am",Linear Combinations of Semiprimes,673,1300,7231,20
279,"20th February 2010, 09:00 am",Triangles with integral sides and an integral angle ,473,2439,12543,20
280,"27th February 2010, 01:00 pm",Ant and seeds,703,2720,17606,19
281,"5th March 2010, 01:00 pm",Pizza Toppings,611,1165,9394,20
282,"12th March 2010, 05:00 pm",The Ackermann function,669,3563,33814,20
283,"19th March 2010, 09:00 pm",Integer sided triangles for which the  area/perimeter ratio is integral,459,4139,40368,20
284,"27th March 2010, 01:00 am",Steady Squares,878,1817,10840,20
285,"3rd April 2010, 05:00 am",Pythagorean odds,807,823,9086,19
286,"3rd April 2010, 05:00 am",Scoring probabilities,1457,917,4951,20
287,"10th April 2010, 09:00 am",Quadtree encoding (a simple compression algorithm),977,966,2812,20
288,"17th April 2010, 01:00 pm",An enormous factorial,1063,665,1909,20
289,"23rd April 2010, 01:00 pm",Eulerian Cycles,347,5903,187415,20
290,"30th April 2010, 05:00 pm",Digital Signature,678,409,6747,20
291,"7th May 2010, 09:00 pm",Panaitopol Primes,906,1402,5329,19
292,"15th May 2010, 01:00 am",Pythagorean Polygons,408,1124,21218,20
293,"22nd May 2010, 05:00 am",Pseudo-Fortunate Numbers,1880,771,1915,20
294,"29th May 2010, 09:00 am",Sum of digits - experience #23,599,1078,6008,20
295,"5th June 2010, 01:00 pm",Lenticular holes,341,11509,52449,20
296,"11th June 2010, 01:00 pm",Angular Bisector and Tangent,398,1543,14192,20
297,"18th June 2010, 05:00 pm",Zeckendorf Representation,1971,389,2094,20
298,"25th June 2010, 09:00 pm",Selective Amnesia,464,2923,14008,20
299,"3rd July 2010, 01:00 am",Three similar triangles,444,1509,16422,20
300,"4th September 2010, 01:00 pm",Protein folding,739,2142,7451,20
301,"11th September 2010, 04:00 pm",Nim,3921,155,601,20
302,"18th September 2010, 07:00 pm",Strong Achilles Numbers,497,5714,15734,20
303,"25th September 2010, 10:00 pm",Multiples with small digits,2491,584,2244,20
304,"3rd October 2010, 01:00 am",Primonacci,1419,640,10585,45
305,"10th October 2010, 04:00 am",Reflexive Position,439,3696,63925,44
306,"17th October 2010, 07:00 am",Paper-strip Game,755,1096,46184,50
307,"24th October 2010, 10:00 am",Chip Defects,1048,705,13933,49
308,"30th October 2010, 01:00 pm",An amazing Prime-generating Automaton,534,5142,76302,48
309,"6th November 2010, 04:00 pm",Integer Ladders,515,1188,30765,49
310,"13th November 2010, 07:00 pm",Nim Square,704,598,13898,49
311,"20th November 2010, 10:00 pm",Biclinic Integral Quadrilaterals,309,4997,198210,49
312,"28th November 2010, 01:00 am",Cyclic paths on Sierpiński graphs,568,2856,34011,49
313,"5th December 2010, 04:00 am",Sliding game,982,1762,7602,49
314,"12th December 2010, 07:00 am",The Mouse on the Moon,353,3893,275720,41
315,"19th December 2010, 10:00 am",Digital root clocks,1993,937,3580,49
316,"25th December 2010, 01:00 pm",Numbers in decimal expansions,437,1060,41988,42
317,"1st January 2011, 04:00 pm",Firecracker,1670,869,12307,48
318,"1st January 2011, 04:00 pm",2011 nines,580,1568,26248,44
319,"8th January 2011, 07:00 pm",Bounded Sequences,268,17813,520848,43
320,"15th January 2011, 10:00 pm",Factorials divisible by a huge integer,570,1004,33539,50
321,"23rd January 2011, 01:00 am",Swapping Counters,1087,1011,7840,47
322,"30th January 2011, 04:00 am",Binomial coefficients divisible by 10,317,5196,124696,39
323,"6th February 2011, 07:00 am",Bitwise-OR operations on random integers,2324,560,3986,48
324,"13th February 2011, 10:00 am",Building a tower,445,4001,21605,39
325,"19th February 2011, 01:00 pm",Stone Game II,395,6182,219979,40
326,"26th February 2011, 04:00 pm",Modulo Summations,355,2306,38622,43
327,"5th March 2011, 07:00 pm",Rooms of Doom,775,938,13804,50
328,"12th March 2011, 10:00 pm",Lowest-cost Search,265,65205,788048,42
329,"20th March 2011, 01:00 am",Prime Frog,1511,657,4940,49
330,"27th March 2011, 05:00 am",Euler's Number,352,5825,140188,43
331,"3rd April 2011, 08:00 am",Cross flips,249,8206,1477071,48
332,"10th April 2011, 10:00 am",Spherical triangles,395,1524,33988,48
333,"16th April 2011, 01:00 pm",Special partitions,765,839,11769,47
334,"23rd April 2011, 04:00 pm",Spilling the beans,320,1638,91112,48
335,"23rd April 2011, 04:00 pm",Gathering the beans,351,2570,97831,46
336,"30th April 2011, 07:00 pm",Maximix Arrangements,1303,547,4398,50
337,"7th May 2011, 10:00 pm",Totient Stairstep Sequences,342,1593,162576,50
338,"15th May 2011, 01:00 am",Cutting Rectangular Grid Paper,229,6861,1016435,48
339,"22nd May 2011, 04:00 am",Peredur fab Efrawg,385,4669,179346,50
340,"29th May 2011, 07:00 am",Crazy Function,657,1579,8023,50
341,"5th June 2011, 10:00 am",Golomb's self-describing sequence,624,1308,28115,50
342,"11th June 2011, 01:00 pm",The totient of a square is a cube,544,1852,33638,49
343,"18th June 2011, 04:00 pm",Fractional Sequences,933,1760,10207,48
344,"25th June 2011, 07:00 pm",Silver dollar game,210,39804,1057198,35
345,"3rd September 2011, 04:00 pm",Matrix Sum,3105,173,2305,48
346,"3rd September 2011, 04:00 pm",Strong Repunits,2242,570,2386,49
347,"3rd September 2011, 04:00 pm",Largest integer divisible by two primes,2397,517,3013,49
348,"3rd September 2011, 04:00 pm",Sum of a square and a cube,1743,424,5025,49
349,"3rd September 2011, 04:00 pm",Langton's ant,1229,618,8723,47
350,"10th September 2011, 07:00 pm",Constraining the least greatest and the greatest least,319,1816,57938,49
351,"17th September 2011, 10:00 pm",Hexagonal orchards,1591,536,4966,48
352,"2nd October 2011, 01:00 am",Blood tests,400,1538,54659,49
353,"9th October 2011, 04:00 am",Risky moon,317,2929,42374,49
354,"16th October 2011, 07:00 am",Distances in a bee's honeycomb ,271,6743,100247,49
355,"23rd October 2011, 10:00 am",Maximal coprime subset,354,5831,195351,49
356,"29th October 2011, 01:00 pm",Largest roots of cubic polynomials,361,1489,71402,45
357,"5th November 2011, 04:00 pm",Prime generating integers,4253,450,1663,46
358,"12th November 2011, 07:00 pm",Cyclic numbers,1019,757,6196,49
359,"19th November 2011, 10:00 pm",Hilbert's New Hotel,947,1396,5610,46
360,"27th November 2011, 01:00 am",Scary Sphere,429,5871,43562,49
361,"4th December 2011, 04:00 am",Subsequence of Thue-Morse sequence,217,17292,734693,43
362,"11th December 2011, 07:00 am",Squarefree factors,319,4351,173079,47
363,"18th December 2011, 10:00 am",Bézier Curves,679,1880,12452,48
364,"24th December 2011, 01:00 pm",Comfortable distance,444,2045,36735,49
365,"31st December 2011, 04:00 pm",A huge binomial coefficient,769,4920,15772,49
366,"7th January 2012, 07:00 pm",Stone Game III,403,5917,19830,49
367,"14th January 2012, 10:00 pm",Bozo sort,327,6296,62762,49
368,"22nd January 2012, 01:00 am",A Kempner-like series,391,896,24962,49
369,"29th January 2012, 04:00 am",Badugi,320,2792,65285,48
370,"5th February 2012, 07:00 am",Geometric triangles,359,7206,87355,44
371,"12th February 2012, 10:00 am",Licence plates,983,782,7156,49
372,"18th February 2012, 01:00 pm",Pencils of rays,288,1664,80472,48
373,"25th February 2012, 04:00 pm",Circumscribed Circles,243,10401,276305,45
374,"3rd March 2012, 07:00 pm",Maximum Integer Partition Product,427,1992,15574,49
375,"10th March 2012, 10:00 pm",Minimum of subsequences,557,4235,19083,48
376,"18th March 2012, 01:00 am",Nontransitive sets of dice,191,3505,141893,49
377,"25th March 2012, 05:00 am","Sum of digits, experience 13",449,1160,25311,49
378,"1st April 2012, 07:00 am",Triangle Triples,498,567,11958,49
379,"8th April 2012, 11:00 am",Least common multiple count,328,38070,170581,48
380,"14th April 2012, 02:00 pm",Amazing Mazes!,355,2995,85688,48
381,"21st April 2012, 05:00 pm",(prime-k) factorial,2415,482,2259,49
382,"28th April 2012, 08:00 pm",Generating polygons,234,15679,93993,47
383,"5th May 2012, 11:00 pm",Divisibility comparison between factorials,345,4345,43746,49
384,"13th May 2012, 02:00 am",Rudin-Shapiro sequence,243,9256,146283,49
385,"20th May 2012, 05:00 am",Ellipses inside triangles,200,6846,125990,45
386,"27th May 2012, 08:00 am",Maximum length of an antichain,467,2144,18686,49
387,"3rd June 2012, 11:00 am",Harshad Numbers,2162,657,2109,49
388,"9th June 2012, 02:00 pm",Distinct Lines,371,1731,42035,49
389,"16th June 2012, 05:00 pm",Platonic Dice,937,791,8962,49
390,"23rd June 2012, 08:00 pm",Triangles with non rational sides and integral area,418,6858,88875,49
391,"30th June 2012, 11:00 pm",Hopping Game,199,8605,282353,49
392,"1st September 2012, 02:00 pm",Enmeshed unit circle,428,2675,13421,50
393,"8th September 2012, 05:00 pm",Migrating ants,483,2751,35323,50
394,"15th September 2012, 08:00 pm",Eating pie,357,2987,56218,50
395,"22nd September 2012, 11:00 pm",Pythagorean tree,445,2594,16054,50
396,"30th September 2012, 02:00 am",Weak Goodstein sequence,411,3494,18675,50
397,"7th October 2012, 05:00 am",Triangle on parabola,180,7840,169495,49
398,"14th October 2012, 08:00 am",Cutting rope,248,5424,65018,49
399,"21st October 2012, 11:00 am",Squarefree Fibonacci Numbers,383,2744,25615,50
400,"27th October 2012, 02:00 pm",Fibonacci tree game,314,2672,44670,49
401,"10th November 2012, 04:00 pm",Sum of squares of divisors,1530,897,4940,49
402,"17th November 2012, 07:00 pm",Integer-valued polynomials,250,5755,61839,49
403,"24th November 2012, 10:00 pm",Lattice points enclosed by parabola and line,232,4848,48398,49
404,"2nd December 2012, 01:00 am",Crisscross Ellipses,221,5938,95539,49
405,"9th December 2012, 04:00 am",A rectangular tiling,387,3130,13400,47
406,"16th December 2012, 07:00 am",Guessing Game,242,2479,41754,47
407,"23rd December 2012, 10:00 am",Idempotents,1300,501,4177,48
408,"29th December 2012, 01:00 pm",Admissible paths through a grid,367,1731,115497,100
