Tekmovalec,Točke,Št. prvih mest
zwuupeape,864,0
,5935,0
arkorwan,310,0
jwpowell,2,0
BuqZ,73,0
justinxu,9,0
rofldofllol,76,0
maximro,204,0
kentskinner,98,0
reipan,120,0
simenheg,34,0
danielik,71,0
dkopiec,254,0
Ciprian.Cana,451,0
Kunero,1115,0
un1,21,0
erker,70,0
jamsabot,70,0
stephenge,36,0
clotz.sugar,2943,0
UMPEC15,41,0
dzhim,73,0
zbanach,60,0
Efgen,393,0
BTyska,53,0
dgboy2000,57,0
emm76,113,0
esacco,18,0
tsiki,2,0
devjoe,5558,0
Plano,15,0
lishaynikov,342,0
amind,11,0
janos,766,0
rmillika,54,0
michaelthomas,20,0
asdugas,80,0
pricesp13,19,0
bigdave,22,0
MagdJTK,30,0
Misyu,74,0
Djinx,478,0
poo123oor,21,0
benoit.esnard,71,0
rsauhta,76,0
cyanea,61,0
oniram,53,0
masterada,20,0
escrow98,34,0
zwilt3,163,0
DjinnKahn,5978,0
jeromeraulin,827,0
themanofum,73,0
tweedcap,354,0
moklo,476,0
ekuurh,204,0
tilo104,115,0
WangTsuHsien,86,0
jester_vg086,90,0
ipsin,115,0
maky,28,0
Halbling,173,0
slavich,139,0
eidanch,81,0
mathguy314,3230,0
Woom,1316,0
amberite,8,0
roosephu,3094,0
anoip,2,0
jdgilbey,72,0
Enodo,896,0
707481877,922,0
evgkuznetsov,69,0
Werkov,26,0
michael_ho,288,0
timrc,47,0
marcelm,30,0
lll,168,0
roytanay,57,0
ecnerwal,2778,2
bmarinoff,28,0
fejesjoco,12,0
willhf,137,0
Zang,53,0
andrewelveyprice,2259,2
Seraltus,20,0
MrDrake,92,0
Steve496,93,0
MitGanev,70,0
ilovepink,28,0
tomek,92,0
benizi,77,0
eagles,3687,0
jdemeyer,54,0
albert,3106,0
unc,135,0
minqiang,51,0
wpolenz,14,0
id,451,0
martin_b,132,0
nickyluck,19,0
bobrovsky.serj,73,0
rogerpasadena,67,0
Giada,57,0
gaston69,20,0
Blabla404,66,0
Milric,22,0
GeorgeNetu,16,0
rng_58,2861,20
CheeseLord,133,0
adrian.budau,46,0
IMeltWithYou,73,0
Sait2000,54,0
jthg,118,0
sleepintegrity,310,0
hmikklos,123,0
marshall,62,0
cornimo,53,0
mofk,197,0
Dr.Korbin,3240,0
athenahealth,140,0
Gomhog,216,0
matteose,22,0
qqqqqqqqq,27,0
LM10,149,0
Dot1Four,52,0
advanderhoeven,2,0
JavaManIssa,17,0
Edvard,144,0
starblue,577,0
sQu1rr,23,0
zacchro,49,0
E869120,59,0
stewbasic,244,0
kingmoshe,56,0
nathan.f.williams,60,0
Megaz,72,0
dacin,16,0
supdike,52,0
Matsuda_Seiko,171,0
ditzone,1121,0
thugzlover29,297,0
business,69,0
ynoth,688,0
anythingapplied,288,0
invisibleparticle,23,0
Nilexys,40,0
dev_random,3732,1
ProkhorovM,72,0
coltrane,59,0
Porkynator,31,0
andreamaf,453,0
MS4321,3,0
foreverbell,1410,0
LLi,54,0
Whitek,14,0
janepopova,73,0
jatingoel1037,24,0
pinguin,1517,0
ysenoh,1349,0
xrz199721,211,0
vishalarul,66,0
Slaunger,54,0
filippovitale,28,0
Eigen20,58,0
Mtyop,235,0
wuyingddg,461,0
REALillusion,15,0
monteverdi,187,0
mps,134,0
shs.10978,3,0
stonecrop,36,0
Sp3000,55,0
mbrenig,53,0
mstczuo,26,0
sjhillier,4415,0
jano31415,215,0
tlesaul2,91,0
LarryBlake,230,0
bladehaze,121,0
I_love_Tanya_Rom...,328,1
aplavin,50,0
jbum,90,0
z_dziezyc,381,0
Waynebot,192,0
jiglesias,52,0
thkang,57,0
Nabb,7273,9
doug,110,0
int-e,27,0
Jorge_Miranda,157,0
lalba,67,0
Hipi_,24,0
lozovsky,81,0
tcarr,30,0
xsd,8078,0
superb_owl,50,0
stoned,10281,0
protostar.98,244,0
pzhon,23,0
yonil,71,0
T.M.,221,0
MIT3W,468,0
mclo,7343,3
riemann,4821,1
silkandcyanide,300,0
KirchnerG,95,0
Francois.Bonnet,88,0
Malvolio,288,0
zhengtn03,86,0
StMisbehavin,14,0
Mi_Sawa,517,0
Kawazoe,4236,0
thundre,5879,1
HiltonLange,181,0
rob64,68,0
grahame1024,260,0
dbaupp,147,0
Ian_Miller,15,0
mVChr,23,0
jinxidoru,76,0
fx2,55,0
EddyFerreira,171,0
CarloV,1691,0
jdelany,23,0
ironman353,2623,0
Henrike,136,0
mverschaeve,742,0
ahmadh84,54,0
marcovanderpark,87,0
hx-wang13,32,0
Guego,5882,1
rlindley,66,0
p3bz,135,0
fallingleaver,13,0
gepatzlow,79,0
davin,28,0
AureiAnimus,59,0
mdm,140,0
nonrecursive,74,0
ekoms,23,0
djocar,824,0
asgerix,5851,0
ehoyle,45,0
timofey.stepanov,6,0
ruilov,1311,0
redmilk525,25,0
changsheng,141,0
alex89,13,0
tim.greenwell,9,0
wxyz202,123,0
Rodinio,44,0
DavidKurokawa,225,0
lukius,141,0
L_James,28,0
tokoharu,3838,0
chrislun,98,0
jo_no,205,0
fear_n2,16,0
int,1029,0
akashdeep,512,0
Swatcher,135,0
carsten.siemens,20,0
lycaste,521,0
haxdogg,121,0
atuk,36,0
artch,35,0
patrik.gustavsson,66,0
LeinidR,371,0
feherg,50,0
ykanizo,1969,0
mt-i,87,0
zko5acs,421,0
runningteeth,7,0
hamedsaleh,30,0
msauhta,849,0
shufix,5,0
kdienes,3,0
miodrag.milenkovic,74,0
dgarceau,68,0
dor1997,537,0
dhh1995,238,0
lem,81,0
assem.ch,9,0
jakeski,114,0
yevlev,49,0
HBaxter,64,0
davidspencer6174,76,0
thomas24,62,0
T_Hutty,35,0
steffen19w23,1084,0
tomato_liu,28,0
falagar,709,0
adkroxx,648,0
deanaw,63,0
robot-dreams,35,0
dbergh,66,0
kirsty_roper,4,0
Kasekopf,89,0
dom_semaca,145,0
avrchoti,54,0
Madiyar,216,0
ush,61,0
PhilLeTaxi,57,0
sunape,14,0
poao899,62,0
duyboy135,30,0
SnapDragon,344,0
Chard,88,0
infinigon,340,0
chenminqi,48,0
tprice7,15,0
s0ng,121,0
ctzsm,44,0
kanca13,64,0
calvinxiao,62,0
Pengolodh,3184,0
blajer,232,0
dufrannea,38,0
Machael_Ho,50,0
Oyvind,34,0
jkon,29,0
geinsei,3,0
Navakanth,823,0
odemacek,22,0
scscsc,46,0
Goophy,66,0
Psycho_Coder,24,0
nshomber,89,0
sarasouju,89,0
Maawood,62,0
m1tch37,29,0
Murphy,65,0
colinc719,76,0
bigeast,56,0
WutheringHeights,383,0
appletking,35,0
ax8529221,81,0
Luke23,478,0
aruff,2858,0
grstcl,93,0
mumps_masochist,383,0
WimC,59,0
petero2,241,0
inozemcew,8,0
ljq,222,0
davidben,36,0
matthiashorbach,134,0
paul.miner,3,0
M.Healy,791,0
yzl_110550,18,0
grantcarlson,560,0
selery_dwa,64,0
kbwt,132,0
lostname,84,0
googlweknoall,253,0
xxscorp,22,0
AngrySquid,185,0
David-Kerr,100,0
beni22sof,81,0
AbcAeffchen,7,0
Bobbit,9144,0
chelck,16,0
vujazzman,15,0
decden,63,0
hvr,123,0
obryant,109,0
hs484,148,0
akovski,4918,0
AZJohno,32,0
Slipper,2122,1
hadium,58,0
dzhou,66,0
jonkadams,64,0
willyliu,131,0
mattstirling,8,0
idon,4,0
fewbutripe,29,0
SorcererofDM,151,0
gilbs,49,0
philippe_57721,156,0
Nymiak,221,0
jarsyl,268,0
misof,79,0
quilan,295,0
cfltdf,253,0
jrouse,308,0
mikev,53,0
cschiano,13,0
Mersenne,151,0
Umqra,37,0
panda5,81,0
fox0571,72,0
Fory,206,0
bendyna,116,0
a.gilotte,127,0
sn2,5,0
nebviyks,11,0
theleche,154,0
irwan_ap,228,0
Ch.L.Lau,135,0
gavento,67,0
Nix9,1000,0
mordon,64,0
ramblin101010,597,0
fbchaos,48,0
wichitamark,3,0
gaga654,9,0
ckthomas,124,0
montyn,27,0
Batalov,3459,0
egi,29,0
creepone,48,0
jmoreira,11,0
TonyvanderPeet,23,0
ben1222,4214,0
fyodor_karamazov,56,0
yuze,47,0
fas,41,0
prune,2,0
misterriley,47,0
terjek,4,0
Eldaerin,78,0
sinthea,61,0
brilsmurf,68,0
folds,65,0
lua,33,0
JeromeMutgeert,57,0
impossiblity,158,0
singlethread,65,0
jtnydv25,614,0
fahasch,135,0
burhomer,59,0
SlavaKabanovich,13,0
KORENA,44,0
cash_FEG,1214,0
Scorpion_God,14,0
mastro,83,0
Ruthles,87,0
saintqdd,65,0
Medium,38,0
bjin,1194,1
petabod,53,0
D.Thomine,102,0
Andax,11,0
VasilisKalogirou,65,0
Dunderhead,65,0
JohnMorris,416,0
booleanopera,50,0
davidu,16,0
Nir,565,1
konrad.garus,62,0
anderskr,37,0
RLG23,25,0
jfry,57,0
mathyrl,59,0
SimonM,206,0
EricJeans,16,0
eric0511,160,0
jad69,58,0
WojtekRybak,45,0
bobjalynch,18,0
scientes,5,0
bmackall60,5,0
.NaN.,61,0
enotpolaskun,12,0
jkschin,48,0
srobbins99,8,0
nomis,121,0
enrico,81,0
endagorion,2153,3
guthrie,12,0
Serinox,64,0
jonathanasdf,72,0
sonnerm,61,0
matpat,15,0
kirbyvert,106,0
MikaelCall,44,0
Dav_her,10,0
BorisZZZ,75,0
phicar,63,0
mp1,114,0
xorisnotor,60,0
shenkedaa,161,0
kevineriklee,148,0
courtesy,5,0
ogiekako,990,0
byrnicles,94,0
eax255,281,0
Miku_chousuki,103,0
jpbecir,96,0
271828,168,0
aayushdw,35,0
yaks_hairbrush,693,0
nekosenyo,84,0
kmisura,57,0
xl,219,0
nallen,135,0
Bumbler,161,0
thobel,39,0
dcoles,25,0
Werevovk,371,1
RagnarGrootKoerkamp,368,0
waltermundt,54,0
aRSeniy,98,0
pgrontas,60,0
gizzywump,39,0
macs,340,0
kjn,88,0
kotulek,3,0
isammis,91,0
Pred4c3,3,0
A-L-P-H-A,23,0
stjamp,58,0
gtg176i,13,0
FLRW,93,0
tesulo,3109,1
moh11,32,0
felix_fontein,136,0
htehlik3,32,0
Beartime234,1,0
rid89,143,0
martinrg,65,0
LucasBrown,32,0
doctorsandwich1,28,0
hweigel528,73,0
TheEvil,453,0
ARoss,1120,0
unime,4397,0
Mrrl,2453,4
nemoyatpeace,200,0
dreamoon,194,0
lavalamp,150,0
stepa_ts,55,0
TerraCoder,9,0
alerner,18,0
olydis,54,0
shiina.ringo,1553,0
AnimusB,5468,0
jarpiain,72,0
stimmer,9095,2
MFred,18,0
ckopnuo,53,0
shik,304,0
sjohna,33,0
niscsi,146,0
DudeAndCat,48,0
8h534d432,85,0
watch-maker,395,0
ChopinPlover,465,0
Oleg78,92,0
litaoye,162,0
gvol,10,0
Pascal.Grudler,38,0
agier,98,0
Kurnos,38,0
reinermartin,2645,0
insamniac,8,0
Lukasz16a,541,0
ironhead,52,0
ondrasej,61,0
Amber00_Chen,26,0
LatticeGuy,1639,0
andenna,657,0
klao,217,0
NAR8789,77,0
1tthinking,77,0
usrbin,216,0
thedoctar,163,0
anrieff,2091,0
Freduoooooooo,2,0
ravdin,34,0
orfest,69,0
Over_score,26,0
taiji,24,0
j123,1205,0
quasisphere,9405,1
Gabor.Almasi,39,0
powzapbiff,64,0
localghost_ru,8,0
daveFNbuck,166,0
TheBlackSwan,8,0
Ragwortshire,141,0
bhandley,83,0
righthavoc,15,0
UltraSuperboy,60,0
ulflund,10,0
mmaximus,216,0
rammek,116,0
hus,46,0
djirtsdew,35,0
f_inv,82,0
dirtlamb5,15,0
eternalcode,39,0
ml,52,0
ShitterOfWorlds,45,0
mahrgell,9,0
fmartin6,23,0
DanielHadas,57,0
H.Stegbauer,19,0
liadtal,357,0
Amitabha,2,0
wefrieke,887,0
armwal,136,0
neras,20,0
amagri,225,0
Edushka,52,0
stimim,168,0
Philip_Gibbs,301,0
lord_recneps,8,0
baihacker,7266,1
motw,76,0
plokzfadai,122,0
taoyijie,78,0
GNFS,4,0
ziv.nach,12,0
zekyll,10,0
john_the_fisherman,51,0
kinjo.yukari,772,0
Quandray,3,0
newlisp,46,0
wawnx,47,0
Sumudu,162,0
russell.d.matt,11,0
BillyLiar,1784,0
dobelo9,62,0
Caesar,58,0
ErnstLippe,54,0
segido,6582,1
VIAModulo,86,0
Kurayu,134,0
pehenry,42,0
dinosrc,49,0
dbranscombe,2,0
navghtivs,382,0
TSC,59,0
Nivsir,7207,0
tl00104,47,0
Un1verse,104,0
rat62,216,0
BradMW,55,0
LastHero,328,0
sinan,259,0
labrocaj,4,0
gamvrosi,8,0
sontran16,51,0
tjm460,66,0
sly.puzzler,72,0
ya.bakhmatov,78,0
edward.wang,18,0
sevenkplus,190,1
raphey,85,0
meesum,70,0
hervebronnimann,93,0
pytho,104,0
Haizan,52,0
Blazing_Darkness,42,0
pvv.ntnu,111,0
DaveNo1,60,0
heen,64,0
jl694,32,0
yzyz,66,0
Zegalur,534,0
Knut.Angstrom,158,0
kordle,35,0
kalinov,228,0
1739,531,0
biniu,90,0
jarlsberg,52,0
kevindallie,4,0
Lucy_Hedgehog,12197,3
romaine,10,0
LaChouetteRieuse,1638,0
aeglaeca,37,0
blakeney,272,0
H-J,61,0
SeeDee,127,0
kpjy,37,0
613,24,0
phimuemue,53,0
dshabes,582,0
superdesert,48,0
mikeyk730,51,0
sigi_s,89,0
frrad,308,0
contrabit,30,0
yotann,97,0
Albert123,10,0
bphillab,95,0
marvel2010,223,0
pascalchap,27,0
tguinard,161,0
exoticorn,83,0
vadius,25,0
ralu,28,0
RobertJohansson,6509,0
akrasuski1,29,0
CoreyJKelly,21,0
sbrown7637,30,0
easymath3,124,0
Inertia,8,0
manaredi,74,0
adib.surani,67,0
michael.oliver,36,0
miska11,25,0
Mohammad_Ali_B,315,0
unarael,97,0
tenryuhito,64,0
igor.nitto,49,0
HELLO23,7,0
deWalk,52,0
doctorsandwich,35,0
tomkenmag,12,0
ExpHP,10,0
WildUtah,385,0
TomasRiker,197,0
Thrax,38,0
shitpant,45,0
guxigevin,3,0
God_S_Ill,66,0
smihaylov,8,0
bobby_eletrica,235,0
lonoffd,46,0
alan_smithee,117,0
eulerscheZahl,72,0
wwwwodddd,513,0
akaja,1323,0
kne,18,0
qwertyuiop22334,42,0
JammaB,27,0
lbrunjes,11,0
vfleaking,62,0
Zuza,221,0
redwolf,33,0
Koizumi_Kyoko,297,0
miaomiaomiao,10,0
maikaze,2238,0
ikatanic,248,0
bata21,215,0
how,30,0
ashishn42,60,0
benzenemtg,43,0
BobTheGreat,87,0
aman.abhishek,12,0
Hilpertti,35,0
marcusrw,32,0
puelipuex,42,0
heni,1416,0
Sacchan,161,0
krst,113,0
kennethklinger,9,0
Erjin_Zhou,217,0
mathseal,393,0
ivan100sic,14,0
Fanfan,846,0
jimmiwalker,81,0
clytorock,117,0
mattihito,56,0
hoorayphyer,4,0
authorj23,52,0
cypress_wx,51,0
martinkirov,47,0
dfeng,7,0
The_X,58,0
jack_rob,59,0
dominicktwitty,24,0
jcencek,314,0
JamieMaclachlan,135,0
oleglyamin,274,0
edward-s,24,0
Travis.Johnston,66,0
Hamb,50,0
germanzorba,19,0
dgokman,161,0
Glabrujere,7,0
jrouse042,96,0
danei,57,0
toadatrix,111,0
ponyopoppo,47,0
johnywith1n,25,0
rzahniser,68,0
ronnoc,313,0
gprano,54,0
Snerd,39,0
HowLongBeen,261,0
SamuelDoud,3,0
nineties,128,0
_y,43,0
zclfly,9,0
wawachief,34,0
tgrbin,53,0
ashareef,43,0
norkim,2,0
andrewpearson,31,0
Dropedrope,103,0
dokrasa,1,0
hos.lyric,197,0
Panphobia,158,0
Aleksey_Dumbay,200,0
spong,69,0
venco,3941,0
jakqo,1,0
likan,196,0
kidjiziwei,22,0
genwitt,156,0
joho,400,0
r4ven,143,0
mcamac,24,0
emiliosilva,63,0
tikitikirevenge,464,0
gustavotcabral,51,0
efasckenoth,13,0
Carsten_Dietzel,30,0
thaxed,3,0
wraith,41,0
abnormallylarges...,16,0
algernon63,76,0
mattmadi,322,0
smartassjacob,31,0
Nyarlath,60,0
alex_ll,178,0
jwnovak,180,0
cjqcjq,84,0
karldray,53,0
spline,33,0
sunleonid,400,0
jawakaaa,341,0
yuzeming,77,0
snabit,839,0
jksabre,45,0
yangyuxuan,1130,0
The.King.of.Korea,67,0
gilwolff,19,0
square1001,77,0
bgamlath,485,0
gwg,17,0
googler,19,0
pippep,12,0
DenRaskovalov,359,0
erfgh,5,0
boulis,57,0
Doju,140,0
Icewing,249,0
triceps,12928,1
gnome,2143,0
Nipuna_Samarasekara,165,0
A1JRJ,55,0
Chongkai,167,0
grisen,7,0
oleg_mazurov,43,0
carlsen,2366,0
Sullyper,279,0
lovro,19,0
Litho,2118,0
Richard61,52,0
abeakkas,106,0
myreg,129,0
frederik.soete,168,0
dnosrc,352,0
superqly,58,0
nexure,803,0
ud2,79,0
ArrayMaster3000,30,0
arpy,562,0
xaboo,59,0
sebdiem,12,0
moudmen,59,0
abin,4,0
simonzack,28,0
elishamod,106,0
rec,49,0
jix,73,0
Chris84779,65,0
pieppiep,58,0
solmyrmag,54,0
Leira,59,0
sfjac,19,0
Glitch29,35,0
armamut,34,0
s.c.koehler,50,0
shersche,38,0
quailty,4,0
backtracking,2935,0
dario2994,1353,0
JPMersenne,95,0
Matanatzz,130,0
wxp-,20,0
ksun48,581,0
FunnyMan,41,0
skutin,328,0
curtwelch,58,0
mbarkhau,58,0
Jonas1729,5461,0
ving,5892,0
djdolls,14995,0
michaelrccurtis,60,0
pengvado,159,0
dmalkr,2,0
sdya,293,0
BlackHC,27,0
ashii,3,0
plamenko,5836,0
kalaxy,12,0
rafaelbeta,2,0
gmmorgan,60,0
ghainke,130,0
avboag,8,0
janowol,41,0
nyroro,18,0
pbsd,51,0
thinred,51,0
ProjectYoung,72,0
kozima,2942,0
ZacharyScolaro,23,0
soumyabratapal13,59,0
rockly,1156,0
getero,205,0
sgm0002003,89,0
liouzhou_101,259,0
ansis,36,0
emcmanus,53,0
biwema,558,0
bela.mervado,1682,0
woshialex,111,0
mightyfoo,52,0
cgy4ever,2449,1
skyivben,509,0
dankuwel,7762,1
JonatanR,59,0
sO3SrLCr4Rqb00Zr...,74,0
notime.sea,943,0
Catalytical,38,0
diefishfissh,4,0
wigie,261,0
vamoose,285,0
imsacred,9,0
linguo,2487,1
jledoux,173,0
novakvt,362,0
xneby,57,0
somethinginbetween,39,0
